Million_Plus_Cities,Age_band_of_driver,Accident_severity,Cause_of_accident,Vehicle Type Involved,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Latitude,Longitude,Time_Block
Thrissur,31-50,High Risk,Driving carelessly,Two-Wheeler,Stormy,Urban Road,Wet,Daylight,20.5937,78.9629,Night
Thrissur,18-30,Medium Risk,Changing lane to the right,Cycle,Clear,National Highway,Under Construction,Dark,20.5937,78.9629,Morning
Thrissur,18-30,High Risk,Changing lane to the left,Car,Clear,State Highway,Damaged,Dark,20.5937,78.9629,Afternoon
Thrissur,18-30,High Risk,Driving carelessly,Car,Clear,State Highway,Normal,Daylight,20.5937,78.9629,Morning
Thrissur,18-30,High Risk,Driving carelessly,Auto-Rickshaw,Hazy,State Highway,Damaged,Daylight,20.5937,78.9629,Afternoon
Thrissur,18-30,High Risk,No distancing,Auto-Rickshaw,Rainy,Highways,Normal,Dusk,20.5937,78.9629,Morning
Thrissur,18-30,Low Risk,Other,Pedestrian,Clear,Highways,Normal,Dark,20.5937,78.9629,Afternoon
Thrissur,50+,High Risk,Changing lane to the right,Car,Rainy,Village Road,Under Construction,Daylight,20.5937,78.9629,Night
Thrissur,18-30,High Risk,Changing lane to the right,Car,Hazy,State Highway,Under Construction,Daylight,20.5937,78.9629,Morning
Thrissur,31-50,High Risk,No distancing,Auto-Rickshaw,Foggy,Urban Road,Damaged,Daylight,20.5937,78.9629,Morning
Thrissur,31-50,High Risk,No distancing,Pedestrian,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Night
Thrissur,50+,High Risk,Overturning,Pedestrian,Clear,Village Road,Dry,Daylight,20.5937,78.9629,Morning
Thrissur,18-30,High Risk,Driving at high speed,Cycle,Rainy,National Highway,Dry,Dusk,20.5937,78.9629,Night
Thrissur,31-50,High Risk,No priority to vehicle,Two-Wheeler,Clear,National Highway,Damaged,Dawn,20.5937,78.9629,Night
Thrissur,31-50,High Risk,No priority to pedestrian,Cycle,Clear,State Highway,Damaged,Daylight,20.5937,78.9629,Night
Thrissur,31-50,High Risk,No priority to vehicle,Two-Wheeler,Clear,Village Road,Wet,Daylight,20.5937,78.9629,Night
Thrissur,18-30,Medium Risk,Other,Auto-Rickshaw,Clear,Highways,Normal,Dark,20.5937,78.9629,Evening
Thrissur,18-30,Medium Risk,Other,Bus,Clear,Highways,Normal,Dark,20.5937,78.9629,Night
Nagpur,18-30,Medium Risk,Moving Backward,Cycle,Clear,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Thrissur,18-30,Medium Risk,No distancing,Pedestrian,Clear,Urban Road,Dry,Dusk,20.5937,78.9629,Night
Tiruchirapalli,18-30,High Risk,Moving Backward,Car,Clear,State Highway,Dry,Daylight,20.5937,78.9629,Night
Tiruchirapalli,18-30,High Risk,No priority to vehicle,Two-Wheeler,Clear,National Highway,Dry,Daylight,20.5937,78.9629,Night
Tiruchirapalli,31-50,High Risk,Driving carelessly,Two-Wheeler,Stormy,National Highway,Dry,Dusk,20.5937,78.9629,Morning
Tiruchirapalli,31-50,High Risk,No distancing,Bus,Foggy,National Highway,Wet,Dusk,20.5937,78.9629,Afternoon
Tiruchirapalli,18-30,High Risk,Other,Auto-Rickshaw,Clear,Urban Road,Under Construction,Daylight,20.5937,78.9629,Night
Tiruchirapalli,18-30,Low Risk,Changing lane to the right,Truck,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Faridabad,18-30,Medium Risk,No distancing,Cycle,Foggy,Highways,Normal,Dusk,20.5937,78.9629,Night
Tiruchirapalli,31-50,High Risk,Driving carelessly,Car,Rainy,Village Road,Wet,Daylight,20.5937,78.9629,Night
Vizaq,31-50,Medium Risk,No distancing,Truck,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Indore,18-30,Medium Risk,No priority to vehicle,Bus,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Tiruchirapalli,18-30,High Risk,Changing lane to the right,Auto-Rickshaw,Stormy,Urban Road,Damaged,Dusk,20.5937,78.9629,Afternoon
Tiruchirapalli,18-30,Low Risk,No priority to pedestrian,Car,Clear,Highways,Normal,Dark,20.5937,78.9629,Night
Tiruchirapalli,31-50,High Risk,No priority to vehicle,Cycle,Rainy,Highways,Normal,Dark,20.5937,78.9629,Morning
Tiruchirapalli,18-30,High Risk,Changing lane to the left,Cycle,Clear,National Highway,Wet,Daylight,20.5937,78.9629,Afternoon
Nagpur,31-50,Low Risk,Turnover,Two-Wheeler,Hazy,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Khozikode,31-50,Low Risk,Driving to the left,Car,Clear,Highways,Normal,Dawn,20.5937,78.9629,Evening
Tiruchirapalli,31-50,High Risk,Driving carelessly,Two-Wheeler,Clear,State Highway,Under Construction,Daylight,20.5937,78.9629,Afternoon
Tiruchirapalli,18-30,High Risk,Driving to the left,Cycle,Clear,Village Road,Dry,Daylight,20.5937,78.9629,Morning
Tiruchirapalli,50+,High Risk,Driving carelessly,Pedestrian,Clear,Highways,Normal,Dusk,20.5937,78.9629,Night
Tiruchirapalli,31-50,High Risk,No priority to pedestrian,Pedestrian,Clear,National Highway,Dry,Daylight,20.5937,78.9629,Morning
Tiruchirapalli,31-50,Low Risk,Driving carelessly,Car,Rainy,Highways,Normal,Dusk,20.5937,78.9629,Afternoon
Tiruchirapalli,31-50,High Risk,Changing lane to the right,Cycle,Clear,National Highway,Dry,Daylight,20.5937,78.9629,Night
Tiruchirapalli,50+,High Risk,Moving Backward,Cycle,Foggy,National Highway,Wet,Dark,20.5937,78.9629,Morning
Kollam,18-30,Low Risk,Driving carelessly,Truck,Hazy,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Tiruchirapalli,18-30,Low Risk,Changing lane to the right,Auto-Rickshaw,Hazy,Highways,Normal,Dark,20.5937,78.9629,Morning
Tiruchirapalli,18-30,High Risk,Driving carelessly,Auto-Rickshaw,Rainy,State Highway,Dry,Dawn,20.5937,78.9629,Night
Rajkot,31-50,Low Risk,Driving carelessly,Auto-Rickshaw,Clear,Highways,Normal,Daylight,20.5937,78.9629,Evening
Tiruchirapalli,18-30,High Risk,Driving carelessly,Cycle,Stormy,Village Road,Damaged,Dawn,20.5937,78.9629,Night
Tiruchirapalli,18-30,High Risk,Changing lane to the right,Pedestrian,Rainy,Village Road,Wet,Dusk,20.5937,78.9629,Night
Vadodra,31-50,Low Risk,Changing lane to the right,Pedestrian,Clear,Highways,Normal,Dusk,20.5937,78.9629,Morning
Vadodra,31-50,High Risk,Driving carelessly,Pedestrian,Clear,Village Road,Wet,Dawn,20.5937,78.9629,Night
Vadodra,50+,High Risk,Overtaking,Car,Clear,Village Road,Under Construction,Daylight,20.5937,78.9629,Night
Allahabad(Prayagraj),18-30,Low Risk,Changing lane to the right,Bus,Stormy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Vadodra,50+,High Risk,No distancing,Auto-Rickshaw,Clear,Village Road,Wet,Daylight,20.5937,78.9629,Morning
Agra,18-30,Low Risk,Other,Two-Wheeler,Clear,Highways,Normal,Daylight,27.1767,78.0081,Evening
Vadodra,18-30,High Risk,Changing lane to the right,Truck,Foggy,National Highway,Normal,Daylight,20.5937,78.9629,Night
Vadodra,18-30,High Risk,Changing lane to the right,Two-Wheeler,Stormy,Village Road,Normal,Daylight,20.5937,78.9629,Night
Vadodra,50+,High Risk,Overtaking,Bus,Clear,Village Road,Under Construction,Dark,20.5937,78.9629,Morning
Vadodra,31-50,High Risk,Other,Cycle,Clear,Urban Road,Damaged,Dark,20.5937,78.9629,Night
Vadodra,18-30,Low Risk,Driving to the left,Cycle,Clear,Highways,Normal,Dark,20.5937,78.9629,Morning
Vadodra,18-30,High Risk,Overtaking,Car,Clear,Urban Road,Under Construction,Daylight,20.5937,78.9629,Afternoon
Vadodra,18-30,High Risk,No priority to vehicle,Auto-Rickshaw,Clear,State Highway,Damaged,Dark,20.5937,78.9629,Afternoon
Vadodra,18-30,High Risk,Moving Backward,Two-Wheeler,Clear,Urban Road,Under Construction,Dusk,20.5937,78.9629,Evening
Vadodra,31-50,High Risk,Other,Car,Clear,State Highway,Dry,Daylight,20.5937,78.9629,Night
Kannur,31-50,Medium Risk,No priority to vehicle,Auto-Rickshaw,Stormy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Vadodra,31-50,High Risk,No priority to pedestrian,Bus,Clear,National Highway,Wet,Dark,20.5937,78.9629,Night
Vadodra,31-50,High Risk,Changing lane to the right,Car,Stormy,Urban Road,Dry,Daylight,20.5937,78.9629,Morning
Vadodra,50+,High Risk,Changing lane to the right,Car,Clear,National Highway,Wet,Daylight,20.5937,78.9629,Night
Vadodra,18-30,High Risk,Changing lane to the right,Car,Clear,State Highway,Under Construction,Daylight,20.5937,78.9629,Morning
Vadodra,18-30,Medium Risk,Driving to the left,Two-Wheeler,Clear,Highways,Normal,Dark,20.5937,78.9629,Evening
Vadodra,50+,High Risk,Changing lane to the left,Cycle,Rainy,Highways,Normal,Dark,20.5937,78.9629,Evening
Indore,50+,Medium Risk,Moving Backward,Car,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Night
Vadodra,18-30,High Risk,Driving at high speed,Car,Clear,National Highway,Wet,Daylight,20.5937,78.9629,Night
Vadodra,18-30,High Risk,Moving Backward,Auto-Rickshaw,Hazy,Highways,Normal,Dark,20.5937,78.9629,Afternoon
Vadodra,18-30,High Risk,No distancing,Bus,Rainy,National Highway,Under Construction,Dark,20.5937,78.9629,Morning
Vadodra,18-30,High Risk,Other,Car,Hazy,National Highway,Wet,Dusk,20.5937,78.9629,Night
Vadodra,18-30,Low Risk,No priority to vehicle,Car,Clear,Highways,Normal,Dusk,20.5937,78.9629,Afternoon
Vadodra,18-30,High Risk,Changing lane to the right,Pedestrian,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Night
Vadodra,18-30,High Risk,Other,Pedestrian,Stormy,Highways,Normal,Dusk,20.5937,78.9629,Afternoon
Vadodra,31-50,Medium Risk,No distancing,Truck,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Surat,31-50,Medium Risk,Driving carelessly,Auto-Rickshaw,Clear,Highways,Normal,Dark,21.1702,72.8311,Evening
Varanasi,18-30,High Risk,No distancing,Auto-Rickshaw,Hazy,State Highway,Under Construction,Dawn,25.3176,82.9739,Morning
Varanasi,18-30,High Risk,Moving Backward,Cycle,Hazy,State Highway,Dry,Dark,25.3176,82.9739,Evening
Varanasi,31-50,Low Risk,No distancing,Bus,Clear,Highways,Normal,Dark,25.3176,82.9739,Morning
Varanasi,31-50,High Risk,Moving Backward,Pedestrian,Stormy,Urban Road,Under Construction,Dark,25.3176,82.9739,Night
Varanasi,18-30,High Risk,No priority to pedestrian,Cycle,Hazy,Village Road,Dry,Daylight,25.3176,82.9739,Afternoon
Varanasi,18-30,Low Risk,Changing lane to the left,Pedestrian,Clear,Highways,Normal,Daylight,25.3176,82.9739,Morning
Varanasi,31-50,High Risk,No distancing,Car,Clear,National Highway,Damaged,Dawn,25.3176,82.9739,Morning
Varanasi,31-50,Medium Risk,Other,Pedestrian,Rainy,Village Road,Wet,Daylight,25.3176,82.9739,Morning
Kolkata,18-30,Low Risk,No distancing,Car,Stormy,Highways,Normal,Dusk,22.5726,88.3639,Morning
Varanasi,31-50,High Risk,No priority to pedestrian,Auto-Rickshaw,Clear,National Highway,Dry,Dark,25.3176,82.9739,Morning
Varanasi,18-30,High Risk,Moving Backward,Auto-Rickshaw,Clear,Urban Road,Dry,Daylight,25.3176,82.9739,Afternoon
Varanasi,18-30,Low Risk,No priority to pedestrian,Pedestrian,Clear,Highways,Normal,Daylight,25.3176,82.9739,Night
Varanasi,18-30,High Risk,No distancing,Pedestrian,Stormy,National Highway,Damaged,Dawn,25.3176,82.9739,Night
Varanasi,18-30,Medium Risk,No priority to pedestrian,Car,Clear,Urban Road,Damaged,Daylight,25.3176,82.9739,Night
Varanasi,18-30,Medium Risk,Driving carelessly,Pedestrian,Rainy,National Highway,Wet,Daylight,25.3176,82.9739,Morning
Varanasi,18-30,High Risk,Getting off the vehicle improperly,Truck,Clear,Village Road,Normal,Dark,25.3176,82.9739,Morning
Dhanbad,18-30,Low Risk,Driving carelessly,Car,Clear,Highways,Normal,Dusk,20.5937,78.9629,Morning
Nashik,18-30,Low Risk,Changing lane to the left,Two-Wheeler,Stormy,Highways,Normal,Dawn,20.5937,78.9629,Night
Varanasi,18-30,Medium Risk,No priority to vehicle,Car,Stormy,Highways,Normal,Daylight,25.3176,82.9739,Afternoon
Varanasi,18-30,High Risk,Changing lane to the right,Car,Foggy,Highways,Normal,Dusk,25.3176,82.9739,Afternoon
Varanasi,31-50,High Risk,Changing lane to the right,Truck,Foggy,Village Road,Damaged,Daylight,25.3176,82.9739,Afternoon
Vadodra,18-30,Low Risk,No distancing,Two-Wheeler,Stormy,Highways,Normal,Dusk,20.5937,78.9629,Morning
Varanasi,31-50,High Risk,No distancing,Bus,Rainy,State Highway,Damaged,Daylight,25.3176,82.9739,Morning
Varanasi,31-50,High Risk,Changing lane to the left,Two-Wheeler,Stormy,Village Road,Dry,Daylight,25.3176,82.9739,Afternoon
Vadodra,18-30,Medium Risk,Changing lane to the right,Pedestrian,Hazy,Highways,Normal,Dusk,20.5937,78.9629,Afternoon
Varanasi,31-50,High Risk,No priority to vehicle,Car,Foggy,National Highway,Wet,Daylight,25.3176,82.9739,Night
Varanasi,31-50,High Risk,Changing lane to the left,Car,Clear,Urban Road,Damaged,Dark,25.3176,82.9739,Evening
Varanasi,18-30,Medium Risk,No priority to vehicle,Pedestrian,Clear,National Highway,Wet,Dusk,25.3176,82.9739,Night
Varanasi,18-30,High Risk,Moving Backward,Cycle,Rainy,Urban Road,Damaged,Dusk,25.3176,82.9739,Night
Vijaywada city,18-30,High Risk,Turnover,Auto-Rickshaw,Clear,Village Road,Dry,Dawn,20.5937,78.9629,Morning
Vijaywada city,18-30,High Risk,No distancing,Auto-Rickshaw,Clear,Urban Road,Damaged,Dusk,20.5937,78.9629,Morning
Vijaywada city,18-30,High Risk,No distancing,Car,Foggy,Urban Road,Dry,Daylight,20.5937,78.9629,Morning
Ahmedabad,50+,Medium Risk,No distancing,Cycle,Clear,Highways,Normal,Dusk,23.0225,72.5714,Evening
Vijaywada city,31-50,Medium Risk,Changing lane to the left,Auto-Rickshaw,Hazy,Urban Road,Normal,Daylight,20.5937,78.9629,Evening
Vijaywada city,31-50,Medium Risk,No priority to vehicle,Truck,Stormy,Urban Road,Damaged,Dark,20.5937,78.9629,Night
Vijaywada city,18-30,High Risk,Moving Backward,Car,Rainy,Village Road,Wet,Dawn,20.5937,78.9629,Evening
Vijaywada city,18-30,High Risk,Overtaking,Auto-Rickshaw,Stormy,Highways,Normal,Daylight,20.5937,78.9629,Night
Coimbatore,18-30,Low Risk,Changing lane to the left,Truck,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Night
Vijaywada city,18-30,High Risk,Changing lane to the right,Car,Clear,Village Road,Under Construction,Daylight,20.5937,78.9629,Afternoon
Vijaywada city,50+,High Risk,Overtaking,Car,Stormy,Village Road,Damaged,Daylight,20.5937,78.9629,Morning
Vijaywada city,31-50,High Risk,Overloading,Cycle,Rainy,National Highway,Under Construction,Dusk,20.5937,78.9629,Afternoon
Delhi,31-50,Low Risk,Other,Truck,Foggy,Highways,Normal,Dawn,28.6139,77.209,Evening
Vijaywada city,31-50,High Risk,No priority to vehicle,Car,Hazy,Urban Road,Wet,Daylight,20.5937,78.9629,Morning
Bengaluru,18-30,Low Risk,Changing lane to the right,Bus,Foggy,Highways,Normal,Dawn,12.9716,77.5946,Night
Nagpur,18-30,Low Risk,Moving Backward,Auto-Rickshaw,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Vijaywada city,18-30,Low Risk,Changing lane to the left,Car,Clear,Highways,Normal,Dark,20.5937,78.9629,Morning
Vijaywada city,18-30,Low Risk,No priority to pedestrian,Two-Wheeler,Stormy,Highways,Normal,Dark,20.5937,78.9629,Night
Vijaywada city,18-30,High Risk,No distancing,Bus,Clear,Urban Road,Wet,Daylight,20.5937,78.9629,Night
Vijaywada city,18-30,Medium Risk,No priority to vehicle,Auto-Rickshaw,Clear,National Highway,Under Construction,Dark,20.5937,78.9629,Evening
Bhopal,31-50,Low Risk,No distancing,Car,Clear,Highways,Normal,Daylight,20.5937,78.9629,Night
Vijaywada city,31-50,High Risk,No distancing,Pedestrian,Clear,Urban Road,Wet,Daylight,20.5937,78.9629,Night
Vijaywada city,31-50,High Risk,Moving Backward,Auto-Rickshaw,Stormy,Urban Road,Wet,Daylight,20.5937,78.9629,Night
Vijaywada city,18-30,Low Risk,Changing lane to the right,Bus,Hazy,Highways,Normal,Dawn,20.5937,78.9629,Morning
Vijaywada city,18-30,High Risk,No priority to pedestrian,Cycle,Hazy,National Highway,Wet,Daylight,20.5937,78.9629,Evening
Vijaywada city,50+,High Risk,Moving Backward,Truck,Clear,State Highway,Damaged,Daylight,20.5937,78.9629,Evening
Vijaywada city,31-50,High Risk,Getting off the vehicle improperly,Pedestrian,Stormy,Village Road,Damaged,Dusk,20.5937,78.9629,Morning
Vijaywada city,31-50,High Risk,Overtaking,Two-Wheeler,Stormy,State Highway,Dry,Daylight,20.5937,78.9629,Morning
Kolkata,31-50,Medium Risk,Overloading,Auto-Rickshaw,Hazy,Highways,Normal,Daylight,22.5726,88.3639,Evening
Vijaywada city,31-50,High Risk,Changing lane to the right,Cycle,Clear,Urban Road,Dry,Daylight,20.5937,78.9629,Evening
Vizaq,50+,High Risk,Improper parking,Two-Wheeler,Rainy,State Highway,Normal,Daylight,20.5937,78.9629,Night
Vizaq,18-30,High Risk,Other,Truck,Foggy,Urban Road,Damaged,Daylight,20.5937,78.9629,Morning
Vizaq,18-30,High Risk,Changing lane to the left,Car,Rainy,National Highway,Dry,Daylight,20.5937,78.9629,Afternoon
Agra,31-50,Low Risk,Changing lane to the right,Truck,Rainy,Highways,Normal,Dawn,27.1767,78.0081,Evening
Faridabad,31-50,Low Risk,No priority to pedestrian,Two-Wheeler,Clear,Highways,Normal,Dusk,20.5937,78.9629,Morning
Vizaq,31-50,High Risk,Overspeed,Two-Wheeler,Clear,Village Road,Damaged,Daylight,20.5937,78.9629,Morning
Vizaq,18-30,Medium Risk,Changing lane to the left,Car,Clear,National Highway,Damaged,Daylight,20.5937,78.9629,Night
Vizaq,18-30,Medium Risk,No priority to vehicle,Two-Wheeler,Clear,National Highway,Under Construction,Daylight,20.5937,78.9629,Morning
Vizaq,31-50,High Risk,Changing lane to the right,Truck,Hazy,State Highway,Damaged,Daylight,20.5937,78.9629,Night
Vizaq,18-30,High Risk,No distancing,Bus,Clear,Village Road,Dry,Daylight,20.5937,78.9629,Afternoon
Nagpur,50+,Low Risk,No priority to pedestrian,Bus,Hazy,Highways,Normal,Dawn,20.5937,78.9629,Morning
Vizaq,18-30,Low Risk,No distancing,Auto-Rickshaw,Hazy,Highways,Normal,Dawn,20.5937,78.9629,Night
Vijaywada city,31-50,Low Risk,No priority to vehicle,Car,Hazy,Highways,Normal,Dark,20.5937,78.9629,Morning
Vizaq,50+,High Risk,Other,Truck,Clear,Village Road,Under Construction,Dark,20.5937,78.9629,Morning
Thrissur,18-30,Medium Risk,Driving carelessly,Truck,Clear,Highways,Normal,Dark,20.5937,78.9629,Evening
Vizaq,18-30,High Risk,Changing lane to the left,Auto-Rickshaw,Clear,State Highway,Damaged,Daylight,20.5937,78.9629,Afternoon
Vizaq,50+,Low Risk,Driving carelessly,Car,Rainy,Highways,Normal,Dark,20.5937,78.9629,Morning
Vizaq,31-50,High Risk,Changing lane to the left,Bus,Clear,State Highway,Dry,Daylight,20.5937,78.9629,Morning
Vizaq,18-30,High Risk,No priority to vehicle,Car,Hazy,National Highway,Under Construction,Dawn,20.5937,78.9629,Night
Vizaq,18-30,High Risk,No distancing,Two-Wheeler,Foggy,State Highway,Damaged,Dark,20.5937,78.9629,Night
Vizaq,50+,High Risk,Changing lane to the right,Auto-Rickshaw,Clear,Urban Road,Wet,Daylight,20.5937,78.9629,Night
Chandigarh,50+,Medium Risk,Changing lane to the right,Car,Clear,Highways,Normal,Dawn,20.5937,78.9629,Night
Vizaq,18-30,Low Risk,Driving at high speed,Car,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Evening
Vizaq,18-30,Low Risk,No distancing,Pedestrian,Foggy,Highways,Normal,Dark,20.5937,78.9629,Night
Vizaq,31-50,High Risk,Changing lane to the right,Cycle,Clear,Urban Road,Dry,Daylight,20.5937,78.9629,Morning
Vizaq,31-50,Low Risk,Changing lane to the left,Truck,Foggy,Highways,Normal,Daylight,20.5937,78.9629,Night
Thrissur,31-50,Low Risk,Getting off the vehicle improperly,Car,Hazy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Vizaq,18-30,High Risk,Other,Two-Wheeler,Clear,National Highway,Dry,Daylight,20.5937,78.9629,Evening
Vizaq,31-50,Low Risk,Other,Cycle,Stormy,Highways,Normal,Daylight,20.5937,78.9629,Evening
Vizaq,18-30,High Risk,No distancing,Cycle,Hazy,National Highway,Under Construction,Daylight,20.5937,78.9629,Morning
Ghaziabad,18-30,Low Risk,No priority to vehicle,Car,Rainy,Highways,Normal,Dawn,20.5937,78.9629,Evening
Agra,18-30,Medium Risk,Overtaking,Cycle,Clear,Urban Road,Wet,Dark,27.1767,78.0081,Night
Kanpur,31-50,Low Risk,No priority to pedestrian,Truck,Clear,Highways,Normal,Daylight,26.4499,80.3319,Afternoon
Agra,50+,Low Risk,No distancing,Cycle,Hazy,Highways,Normal,Daylight,27.1767,78.0081,Morning
Agra,31-50,High Risk,Changing lane to the right,Truck,Rainy,Urban Road,Dry,Daylight,27.1767,78.0081,Morning
Agra,50+,High Risk,Driving carelessly,Two-Wheeler,Rainy,Urban Road,Damaged,Dawn,27.1767,78.0081,Night
Agra,31-50,Medium Risk,Changing lane to the right,Auto-Rickshaw,Clear,Highways,Normal,Daylight,27.1767,78.0081,Night
Agra,18-30,High Risk,Overtaking,Cycle,Rainy,National Highway,Normal,Daylight,27.1767,78.0081,Morning
Agra,18-30,High Risk,Other,Car,Foggy,Village Road,Dry,Dawn,27.1767,78.0081,Morning
Agra,18-30,High Risk,Driving to the left,Pedestrian,Foggy,National Highway,Dry,Daylight,27.1767,78.0081,Morning
Agra,18-30,High Risk,Driving at high speed,Pedestrian,Rainy,Urban Road,Damaged,Daylight,27.1767,78.0081,Afternoon
Agra,31-50,Low Risk,Unknown,Cycle,Stormy,Highways,Normal,Dawn,27.1767,78.0081,Morning
Agra,31-50,High Risk,Changing lane to the right,Pedestrian,Hazy,Village Road,Normal,Daylight,27.1767,78.0081,Morning
Vijaywada city,18-30,Low Risk,No distancing,Pedestrian,Clear,Highways,Normal,Dark,20.5937,78.9629,Afternoon
Agra,18-30,Low Risk,Other,Truck,Clear,Highways,Normal,Dawn,27.1767,78.0081,Morning
Agra,18-30,High Risk,No priority to vehicle,Cycle,Rainy,Highways,Normal,Dawn,27.1767,78.0081,Afternoon
Agra,18-30,Low Risk,Changing lane to the left,Truck,Stormy,Highways,Normal,Dusk,27.1767,78.0081,Night
Allahabad(Prayagraj),18-30,Low Risk,No priority to pedestrian,Two-Wheeler,Clear,Highways,Normal,Daylight,20.5937,78.9629,Evening
Agra,18-30,High Risk,Overtaking,Pedestrian,Clear,Urban Road,Dry,Daylight,27.1767,78.0081,Afternoon
Agra,31-50,High Risk,Driving carelessly,Truck,Rainy,Urban Road,Wet,Dark,27.1767,78.0081,Night
Agra,18-30,High Risk,No priority to vehicle,Cycle,Clear,Village Road,Wet,Daylight,27.1767,78.0081,Evening
Hyderabad,31-50,Low Risk,No priority to pedestrian,Pedestrian,Clear,Highways,Normal,Daylight,17.385,78.4867,Morning
Agra,31-50,High Risk,Changing lane to the right,Two-Wheeler,Foggy,State Highway,Normal,Daylight,27.1767,78.0081,Night
Agra,18-30,High Risk,Driving carelessly,Pedestrian,Rainy,Highways,Normal,Daylight,27.1767,78.0081,Afternoon
Agra,31-50,Low Risk,Changing lane to the right,Car,Foggy,Highways,Normal,Daylight,27.1767,78.0081,Night
Bhopal,18-30,Low Risk,Changing lane to the right,Cycle,Clear,Highways,Normal,Daylight,20.5937,78.9629,Afternoon
Chandigarh,31-50,Low Risk,Changing lane to the left,Two-Wheeler,Stormy,Highways,Normal,Dusk,20.5937,78.9629,Night
Agra,31-50,Low Risk,Overturning,Two-Wheeler,Clear,Highways,Normal,Dusk,27.1767,78.0081,Afternoon
Agra,18-30,High Risk,Driving carelessly,Car,Clear,State Highway,Under Construction,Daylight,27.1767,78.0081,Night
Agra,18-30,High Risk,No distancing,Bus,Foggy,Village Road,Under Construction,Dark,27.1767,78.0081,Afternoon
Ahmedabad,18-30,High Risk,Driving carelessly,Cycle,Clear,Village Road,Wet,Dark,23.0225,72.5714,Afternoon
Ahmedabad,31-50,Low Risk,Changing lane to the left,Pedestrian,Hazy,Highways,Normal,Dawn,23.0225,72.5714,Afternoon
Ahmedabad,18-30,High Risk,No priority to vehicle,Car,Stormy,Village Road,Normal,Dusk,23.0225,72.5714,Afternoon
Raipur,31-50,Low Risk,Changing lane to the right,Two-Wheeler,Stormy,Highways,Normal,Daylight,20.5937,78.9629,Evening
Ahmedabad,31-50,Low Risk,No distancing,Cycle,Clear,Highways,Normal,Daylight,23.0225,72.5714,Afternoon
Ahmedabad,31-50,Medium Risk,Moving Backward,Cycle,Clear,Highways,Normal,Daylight,23.0225,72.5714,Morning
Ahmedabad,50+,High Risk,Moving Backward,Bus,Stormy,Village Road,Damaged,Dawn,23.0225,72.5714,Afternoon
Ahmedabad,31-50,Medium Risk,No distancing,Auto-Rickshaw,Clear,Highways,Normal,Daylight,23.0225,72.5714,Morning
Ahmedabad,18-30,Low Risk,No distancing,Auto-Rickshaw,Clear,Highways,Normal,Daylight,23.0225,72.5714,Afternoon
Ahmedabad,50+,High Risk,No distancing,Truck,Clear,National Highway,Wet,Dawn,23.0225,72.5714,Night
Ahmedabad,18-30,High Risk,No priority to pedestrian,Pedestrian,Clear,National Highway,Dry,Dawn,23.0225,72.5714,Morning
Ahmedabad,31-50,High Risk,Driving carelessly,Bus,Stormy,National Highway,Wet,Dark,23.0225,72.5714,Night
Ahmedabad,18-30,High Risk,Changing lane to the right,Truck,Rainy,National Highway,Damaged,Dark,23.0225,72.5714,Afternoon
Faridabad,31-50,Medium Risk,Changing lane to the left,Car,Rainy,Highways,Normal,Daylight,20.5937,78.9629,Morning
Ahmedabad,31-50,High Risk,Driving carelessly,Truck,Foggy,National Highway,Under Construction,Dark,23.0225,72.5714,Morning
Ahmedabad,18-30,Low Risk,Driving carelessly,Two-Wheeler,Clear,Highways,Normal,Dawn,23.0225,72.5714,Morning
Ahmedabad,18-30,High Risk,No distancing,Cycle,Rainy,Urban Road,Wet,Dusk,23.0225,72.5714,Evening
Ahmedabad,31-50,High Risk,Other,Pedestrian,Clear,Highways,Normal,Daylight,23.0225,72.5714,Afternoon
Khozikode,31-50,Low Risk,Changing lane to the right,Pedestrian,Clear,Highways,Normal,Dusk,20.5937,78.9629,Night
Ahmedabad,31-50,High Risk,Changing lane to the right,Car,Clear,State Highway,Under Construction,Dawn,23.0225,72.5714,Morning
Ahmedabad,18-30,High Risk,No distancing,Cycle,Clear,Highways,Normal,Dawn,23.0225,72.5714,Evening
Ahmedabad,31-50,High Risk,No distancing,Auto-Rickshaw,Clear,State Highway,Damaged,Daylight,23.0225,72.5714,Night
Ahmedabad,31-50,High Risk,Overturning,Two-Wheeler,Foggy,Village Road,Dry,Daylight,23.0225,72.5714,Evening
Ahmedabad,18-30,High Risk,Driving at high speed,Truck,Foggy,Highways,Normal,Dawn,23.0225,72.5714,Afternoon
